received_at,timestamp_ms,sync_state,frame_num,rssi,snr,lq,msg_type,payload_hex
2026-02-11T18:59:53.062518,1,1,2,-48,8,96,UL,
2026-02-11T18:59:53.115110,54,1,3,-43,9,99,UL,
2026-02-11T18:59:53.168761,108,1,4,-51,11,97,DL,
2026-02-11T18:59:53.222204,161,1,5,-40,11,95,UL,
2026-02-11T18:59:53.275422,214,1,6,-49,10,95,DL,
2026-02-11T18:59:53.330384,269,1,7,-44,10,95,DL,
2026-02-11T18:59:53.382212,321,1,8,-43,12,96,DL,
2026-02-11T18:59:53.435247,374,1,9,-54,6,95,DL,
2026-02-11T18:59:53.488442,427,1,10,-52,9,98,DL,
2026-02-11T18:59:53.542037,481,1,11,-44,6,98,UL,
2026-02-11T18:59:53.587209,526,1,12,-43,10,96,DL,
2026-02-11T18:59:53.638371,577,1,13,-40,9,98,DL,
2026-02-11T18:59:53.690565,630,1,14,-42,8,96,DL,
2026-02-11T18:59:53.743456,682,1,15,-48,12,96,DL,
2026-02-11T18:59:53.796407,735,1,16,-42,10,97,DL,
2026-02-11T18:59:53.843272,782,1,17,-46,6,97,UL,
2026-02-11T18:59:53.894623,834,1,18,-44,6,100,DL,
2026-02-11T18:59:53.946519,886,1,19,-50,11,98,DL,
2026-02-11T18:59:53.999410,938,1,20,-44,11,99,DL,
2026-02-11T18:59:54.051938,991,1,21,-43,8,97,DL,
2026-02-11T18:59:54.103774,1043,1,22,-51,11,95,DL,
2026-02-11T18:59:54.156413,1095,1,23,-40,12,100,DL,
2026-02-11T18:59:54.208927,1148,1,24,-42,6,99,DL,
2026-02-11T18:59:54.261930,1201,1,25,-41,7,98,DL,
2026-02-11T18:59:54.314916,1254,1,26,-51,6,100,UL,
2026-02-11T18:59:54.367149,1306,1,27,-53,11,97,DL,
2026-02-11T18:59:54.420191,1359,1,28,-41,8,100,DL,
2026-02-11T18:59:54.473242,1412,1,29,-43,7,98,DL,
2026-02-11T18:59:54.525082,1464,1,30,-43,12,97,DL,
2026-02-11T18:59:54.577815,1517,1,31,-47,10,99,DL,
2026-02-11T18:59:54.629057,1568,1,32,-47,8,98,DL,
2026-02-11T18:59:54.680977,1620,1,33,-40,8,96,DL,
